class	parent	getter_fn	dump_line
CEventMercReportShotAtDuringWager	CAIEvent	FUN_109a4250	1527276
CEventMercReportSuspiciousBuilding	CAIEvent	FUN_109a41c0	1527228
CEventMercReportThreat	CAIEvent	FUN_109a4070	1527116
CEventMercReportVehicleSTPRequest	CAIEvent	FUN_109a4130	1527180
CEventSocialReportSeePlayerBumpedMe	CAIEvent	FUN_109b3920	1537743
CEventSocialReportShotFired	CAIEvent	FUN_109b3950	1537759
CExplosive	CGameObject	FUN_104cbd80	831962
CExplosiveEvent	CEntityEvent	FUN_105fab20	999938
CExplosiveKillEvent	CBaseEvent	FUN_105cc9f0	974249
CFCXAIBehaviorService	IGameModeService	FUN_106476b0	1039718
CFCXAIComponent	CAIComponent	FUN_104caf80	831481
CFCXActivatePresenceOperation	CFCXGameOperation	FUN_106d2390	1117168
CFCXBarkManagerService	CBarkManagerService	FUN_105930f0	944726
CFCXBenchmarkService	IGameModeService	FUN_106474a0	1039622
CFCXClassService	IGameModeService	FUN_10647830	1039782
CFCXClearMessageBoxManager	CFCXGameOperation	FUN_106d2480	1117184
CFCXCountersComponent	CCountersComponentGO	FUN_104cb0a0	831561
CFCXCountersComponentAI	CFCXCountersComponent	FUN_104cb0d0	831577
CFCXCountersComponentAIBuddy	CFCXCountersComponentAI	FUN_104cb100	831593
CFCXCountersComponentPlayer	CFCXCountersComponent	FUN_104cb260	831642
CFCXCountersComponentPlayerMP	CFCXCountersComponentPlayer	FUN_104cb290	831658
CFCXCountersComponentPlayerSP	CFCXCountersComponentPlayer	FUN_104cb2c0	831674
CFCXCountersService	ICountersService	FUN_1057fe70	935511
CFCXCreateGameModeOperation	CGameOperationContainer	FUN_1005a3b0	61421
CFCXCreateSessionOperation	CFCXGameOperation	FUN_106dade0	1121563
CFCXDeleteGameModeOperation	CFCXGameOperation	FUN_106d9de0	1121162
CFCXDeleteSessionOperation	CFCXGameOperation	FUN_106d2300	1117136
CFCXGOSetUpdateFlags	CGameOperation	FUN_106df080	1123723
CFCXGRStateAdversarialLobby	CGRStateAdversarialLobby	FUN_107146c0	1155700
CFCXGRStateBenchmark	CGRState	FUN_10709c80	1150256
CFCXGRStateBenchmarkWaitForLoad	CGRStateLoad	FUN_10709c50	1150240
CFCXGRStateCTFInRound	CGRStateTeamAdversarialInRound	FUN_10706de0	1148069
CFCXGRStateDeathMatchInRound	CGRStateAdversarialInRound	FUN_10714660	1155668
CFCXGRStateMultiMenu	CGRState	FUN_104ca950	831180
CFCXGRStatePostRound	CGRStatePostRound	FUN_10705040	1146665
CFCXGRStatePreRound	CGRStatePreRound	FUN_10704a20	1146322
CFCXGRStateSingleInGame	CGRStateSingle	FUN_10711760	1153824
CFCXGRStateSinglePreGame	CGRStateLoad	FUN_106cee70	1116144
CFCXGRStateTeamAdversarialLobby	CGRStateTeamAdversarialLobby	FUN_107049c0	1146290
CFCXGRStateTeamDeathMatchInRound	CGRStateTeamAdversarialInRound	FUN_10707520	1148398
CFCXGRStateVIPInRound	CGRStateTeamAdversarialInRound	FUN_10713430	1154823
CFCXGameMessageService	CGameMessageService	FUN_105d2b20	978075
CFCXGameModeChange	CFCXGameOperation	FUN_106d9d00	1121130
CFCXGameModeInitNetworkOperation	CFCXGameOperation	FUN_106d2240	1117072
CFCXGameModeShutdownNetworkOperation	CFCXGameOperation	FUN_106d2270	1117088
CFCXGameOperation	CGameOperation	FUN_1005a320	61373
CFCXGameSoundService	CGameSoundService	FUN_10647560	1039670
CFCXGameStartOperation	CFCXGameOperation	FUN_1005a560	61533
CFCXGameplayManager	CGameplayManager	FUN_1063c530	1035912
CFCXInitializeTerminalsOperation	CFCXGameOperation	FUN_1005a4a0	61469
CFCXJoinSessionOperation	CFCXGameOperation	FUN_106d2360	1117152
CFCXLoadGameOperation	CFCXGameOperation	FUN_106d3da0	1117560
CFCXLoadGameStartOperation	CFCXGameOperation	FUN_106d1cc0	1116926
CFCXLoadOutItemsTransaction	CNetDataContainer	FUN_106eaee0	1131059
CFCXLoadOutService	IGameModeService	FUN_10647500	1039638
CFCXLoadWorldOp	CFCXGameOperation	FUN_106d7c10	1120096
CFCXLoadWorldOperation	CGameOperationContainer	FUN_1005a440	61437
CFCXLoadWorldSynchOp	CFCXGameOperation	FUN_10628d10	1025518
CFCXLoginOperation	CFCXGameOperation	FUN_1005a350	61389
CFCXMissionManager	IGameModeService	FUN_1057fea0	935527
CFCXNetEngineShutdownOperation	CFCXGameOperation	FUN_106d22d0	1117120
CFCXNetEngineStartupOperation	CFCXGameOperation	FUN_106d22a0	1117104
CFCXOnLoadWorldOp	CFCXGameOperation	FUN_106d7d50	1120128
CFCXOnPostLoadWorldOp	CFCXGameOperation	FUN_106d7e30	1120160
CFCXOnPreLoadWorldOp	CFCXGameOperation	FUN_106d7ba0	1120080
CFCXOnlineConversionHelper	<root>	FUN_106fb070	1141240
CFCXPlayer	CPlayer	FUN_10509ac0	869885
CFCXPlayerService	CPlayerService	FUN_10509a90	869869
CFCXPostGameModeChange	CFCXGameOperation	FUN_106d9d70	1121146
CFCXPostLoadWorldOp	CFCXGameOperation	FUN_106d7dc0	1120144
CFCXPostMetaPodTeleportOperation	CFCXGameOperation	FUN_106d4150	1117688
CFCXPostReviveOperation	CFCXGameOperation	FUN_1053bc60	899679
CFCXPostSoundOperation	CFCXGameOperation	FUN_10685cc0	1077852
CFCXPreLoadWorldOp	CFCXGameOperation	FUN_106d7b30	1120064
CFCXPreSoundOperation	CFCXGameOperation	FUN_10685c90	1077836
CFCXPrepareLoadingScreenOperation	CFCXGameOperation	FUN_1005a4d0	61485
CFCXPrepareRendererOperation	CFCXGameOperation	FUN_1005a590	61549
CFCXPrepareUnloadWorldOperation	CFCXGameOperation	FUN_106d3cf0	1117544
CFCXRankService	IGameModeService	FUN_10647800	1039766
CFCXRemoveEntityFromListOperation	CGameOperation	FUN_10628da0	1025566
CFCXRunBatchFileOperation	CGameOperation	FUN_1005a530	61517
CFCXSetGameBooting	CFCXGameOperation	FUN_106d3e50	1117576
CFCXSingleGameFilesService	CGameFilesService	FUN_104cbcc0	831914
CFCXSkipFramesOperation	CFCXGameOperation	FUN_10628d70	1025550
CFCXStartEditor	CGameOperationContainer	FUN_106df0f0	1123739
CFCXStartNetworkOperation	CFCXGameOperation	FUN_106dadb0	1121547
CFCXStopEditor	CGameOperationContainer	FUN_106df120	1123755
CFCXTeleportEntityOperation	CFCXGameOperation	FUN_10628d40	1025534
CFCXUnloadLoadingScreenOperation	CFCXGameOperation	FUN_1005a500	61501
CFCXUnloadWorldOperation	CFCXGameOperation	FUN_1005a470	61453
CFCXUnsetGameBooting	CFCXGameOperation	FUN_106d3ec0	1117592
CFCXWeapon	CWeapon	FUN_104ca530	830940
CFCXWeaponsService	CWeaponsService	FUN_105cc6b0	974127
CFCXWorldReadyOperation	CFCXGameOperation	FUN_106d7f20	1120176
CFaceActorResource	CResource	FUN_103178a0	537965
CFaceAnimResource	CResource	FUN_10317870	537949
CFcxAIEventDesertChange	CEntityEvent	FUN_109d51d0	1555743
CFileDescriptorComponent	CEntityComponent	FUN_101a68f0	292523
CFileDescriptorRuntimeComponent	CFileDescriptorComponent	FUN_101a6920	292539
CFireComponent	CEntityComponent	FUN_104cb3e0	831706
CFireObjectComponent	CFireComponent	FUN_104cb410	831722
CFireRegionComponent	CFireComponent	FUN_104cb4d0	831738
CFireStartedEvent	CBaseEvent	FUN_105e46e0	987451
CFireStickyStreamComponent	CFireComponent	FUN_104cb500	831754
CFlag	CGameObject	FUN_104c9560	830298
CFlagMemento	CNetDataContainer	FUN_1050cd20	871980
CFlagStation	CGameObject	FUN_104ca8c0	831148
CFlagStationNetworkComponent	CNetworkComponent	FUN_104ca8f0	831164
CFlyingAnimalPersonality	CLivingCreature	FUN_1097f090	1501282
CFrankensteinComponent	CEntityComponent	FUN_10644b10	1038881
CFrankensteinPoseResource	CResourceContainer	FUN_10317840	537933
CFriendListService	IGameModeService	FUN_108a5d90	1390352
CFullScreenVideoOperation	CGameOperation	FUN_1063bf50	1035674
CGOExternalState	CGOState	FUN_100c8d20	143871
CGOState	CNomadObject	FUN_100c8cf0	143855
CGOStateEvent	<root>	FUN_1062fac0	1029518
CGOStateEventEquipment	CGOStateEvent	FUN_10641690	1037908
CGRAmmoPilesRespawn	CGRQueryParams	FUN_1084efb0	1342401
CGRAmmoPilesSpawnProjectiles	CGRQueryParams	FUN_107e5b40	1275926
CGRCanBackstab	CGRQueryParams	FUN_105cf840	976206
CGRCanRemoveInventoryEntities	CGRQueryParams	FUN_106ceed0	1116176
CGRCanStab	CGRQueryParams	FUN_1082faf0	1321732
CGRDropInventoryWhenRagdoll	CGRQueryParams	FUN_10741e00	1179251
CGREvent	CCommandCBParam	FUN_1005aaa0	61756
CGREventEndGameStatsReceived	CGREvent	FUN_1023ada0	395392
CGREventFlagPickedUp	CGREvent	FUN_10509990	869781
CGREventFlagScore	CGREvent	FUN_1059e680	951670
CGREventFlagStolen	CGREvent	FUN_1059e610	951634
CGREventFlagTimedOut	CGREvent	FUN_105099c0	869797
CGREventOnAnimalKill	CGREvent	FUN_1052a790	888852
CGREventOnDropFlag	CGREvent	FUN_106435b0	1038239
CGREventOnEntityReady	CGREvent	FUN_1076a120	1201534
CGREventOnExtractionTrigger	CGREvent	FUN_1056b7b0	924419
CGREventOnExtractionTriggerNotFirstTime	CGREvent	FUN_1056c030	924743
CGREventOnKill	CGREvent	FUN_1051e5e0	881897
CGREventOnOutOfWorld	CGREvent	FUN_105d29b0	977990
CGREventOnPawnDied	CGREvent	FUN_1071fcc0	1161945
CGREventOnPawnDown	CGREvent	FUN_107252f0	1164942
CGREventOnPawnReady	CGREvent	FUN_1005ab00	61788
CGREventOnPlayerEnterCaptureCircle	CGREvent	FUN_105a33f0	953922
CGREventOnPlayerExitCaptureCircle	CGREvent	FUN_105a3420	953938
CGREventOnPointCaptured	CGREvent	FUN_105a5000	954866
CGREventOnQuitMatch	CGREvent	FUN_10850390	1343185
CGREventOnRepairableDamageImpact	CGREventOnRepairableObject	FUN_1052c670	890033
CGREventOnRepairableObject	CGREvent	FUN_1052c350	889823
CGREventOnRepairableObjectDamaged	CGREventOnRepairableObject	FUN_1052c460	889911
CGREventOnRepairableObjectDestroyed	CGREventOnRepairableObject	FUN_1052c430	889895
CGREventOnRepairableObjectFixed	CGREventOnRepairableObject	FUN_1052c4e0	889948
CGREventOnRepairableObjectRepaired	CGREventOnRepairableObject	FUN_1052c3c0	889859
CGREventOnRequestChangeTeamCaptain	CGREvent	FUN_10725320	1164958
CGREventOnRequestEndMatch	CGREvent	FUN_106f00a0	1134740
CGREventOnRequestExtendMatch	CGREvent	FUN_106f0100	1134772
CGREventOnRequestRestartMatch	CGREvent	FUN_106f00d0	1134756
CGREventOnRequestSkipMap	CGREvent	FUN_106f0130	1134788
CGREventOnRequestStartMatch	CGREvent	FUN_1084c5c0	1340480
CGREventOnRequestTeamChange	CGREvent	FUN_1075f3f0	1195629
CGREventOnRevive	CGREvent	FUN_1071b9a0	1160080
CGREventOnSpawnPlayer	CGREvent	FUN_107151f0	1156112
CGREventOnTryDropFlag	CGREvent	FUN_10643580	1038223
CGREventRequestDisplayLoadOut	CGREvent	FUN_10635b90	1032804
CGREventRequestDisplayPauseMulti	CGREvent	FUN_108503c0	1343201
CGREventRequestHideLoadOut	CGREvent	FUN_10635bf0	1032820
CGREventSkillRingMode	CGREvent	FUN_1071fd50	1161993
CGRGenericEvent	CGREvent	FUN_1005aad0	61772
CGRQueryCanCallVote	CGRQueryParams	FUN_1071e200	1161114
CGRQueryCanCapturePoint	CGRQueryParams	FUN_1071e260	1161146
CGRQueryCanChangeTeam	CGRQueryParams	FUN_10855940	1346668
CGRQueryCanDepositFlag	CGRQueryParams	FUN_1059e730	951728
CGRQueryCanDoDamage	CGRQueryParams	FUN_1062fe20	1029693
CGRQueryCanJamEquipment	CGRQueryParams	FUN_106c25d0	1108934
CGRQueryCanModifyHealth	CGRQueryParams	FUN_105cf810	976190
CGRQueryCanPickUpFlag	CGRQueryParams	FUN_105099f0	869813
CGRQueryCanPlayerRequestDisplayLoadOut	CGRQueryParams	FUN_10717b70	1157338
CGRQueryCanPlayerRequestHideLoadOut	CGRQueryParams	FUN_10717ba0	1157354
CGRQueryCanRevive	CGRQueryParams	FUN_108161a0	1306010
CGRQueryCanTakeFlag	CGRQueryParams	FUN_1059e6b0	951686
CGRQueryCanVoiceChat	CGRQueryParams	FUN_1076a150	1201550
CGRQueryDisplayAccountErrors	CGRQueryParams	FUN_10723310	1164022
CGRQueryDisplayConfirmDestructiveAction	CGRQueryParams	FUN_106cef00	1116192
CGRQueryDisplayEthernetLinkError	CGRQueryParams	FUN_10723340	1164038
CGRQueryFlagTimer	CGRQueryParams	FUN_1071fd20	1161977
CGRQueryGetBases	CGRQueryParams	FUN_10704fc0	1146633
CGRQueryGetCapturePoints	CGRQueryParams	FUN_10705e20	1147267
CGRQueryGetFlagStations	CGRQueryParams	FUN_10706db0	1148053
CGRQueryGetMenuContext	CGRQueryParams	FUN_10723940	1164257
CGRQueryGetPickupPiles	CGRQueryParams	FUN_1084dc20	1341610
CGRQueryGetPlayerRespawnTime	CGRQueryParams	FUN_10850420	1343233
CGRQueryGetStateTimeLeft	CGRQueryParams	FUN_101e1ce0	337024
CGRQueryGetTeamScore	CGRQueryParams	FUN_1071e230	1161130
CGRQueryGetWaveRespawnTime	CGRQueryParams	FUN_108503f0	1343217
CGRQueryHasFlag	CGRQueryParams	FUN_1071fcf0	1161961
CGRQueryHasFlagTimedOut	CGRQueryParams	FUN_10509a60	869853
CGRQueryIsDefaultEquipmentCategory	CGRQueryParams	FUN_106eae50	1131027
CGRQueryIsDodgeBlocked	CGRQueryParams	FUN_1051bb70	880856
CGRQueryIsGameInLobby	CGRQueryParams	FUN_10001aa0	690
CGRQueryIsGameInMainMenu	CGRQueryParams	FUN_107098a0	1150143
CGRQueryIsGameInPostRound	CGRQueryParams	FUN_1084c5f0	1340496
CGRQueryIsGameInPreRound	CGRQueryParams	FUN_106f0210	1134850
CGRQueryIsGameInProgress	CGRQueryParams	FUN_100428a0	44355
CGRQueryIsInteractivePopupAllowed	CGRQueryParams	FUN_1071b120	1159805
CGRQueryIsLoadOutDisplayed	CGRQueryParams	FUN_10704a80	1146354
CGRQueryIsReviveEnabled	CGRQueryParams	FUN_105d29e0	978006
CGRQueryIsSuicide	CGRQueryParams	FUN_10719d10	1159054
CGRQueryIsTeamBasedMode	CGRQueryParams	FUN_106f0240	1134866
CGRQueryIsVehicleAccessBlocked	CGRQueryParams	FUN_104efba0	854266
CGRQueryIsWaitingForRevive	CGRQueryParams	FUN_10725350	1164974
CGRQueryIsWorldNeeded	CGRQueryParams	FUN_1076a180	1201566
CGRQueryIsaVIPPlayer	CGRQueryParams	FUN_1060df50	1009583
CGRQueryJoinAsSpectator	CGRQueryParams	FUN_107842e0	1219048
CGRQueryParams	<root>	FUN_10001a60	671
CGRQuerySystemPresence	CGRQueryParams	FUN_106ceea0	1116160
CGRQueryWaitForRevive	CGRQueryParams	FUN_10644ae0	1038865
CGRState	<root>	FUN_1005a950	61653
CGRStateAdversarial	CGRState	FUN_107048d0	1146210
CGRStateAdversarialInRound	CGRStateAdversarial	FUN_10714630	1155652
CGRStateAdversarialLobby	CGRState	FUN_10714690	1155684
CGRStateIdle	CGRState	FUN_101e11d0	336441
CGRStateLoad	CGRState	FUN_1005aa70	61740
CGRStateLoadPlayer	CGRStateLoad	FUN_107047c0	1146149
CGRStateLoadWorld	CGRStateLoad	FUN_107047f0	1146165
CGRStatePostRound	CGRState	FUN_10704a50	1146338
CGRStatePreRound	CGRState	FUN_107049f0	1146306
CGRStateSingle	CGRState	FUN_10711730	1153808
CGRStateTeamAdversarial	CGRStateAdversarial	FUN_10704900	1146226
CGRStateTeamAdversarialInRound	CGRStateTeamAdversarial	FUN_10704930	1146242
CGRStateTeamAdversarialLobby	CGRState	FUN_10704990	1146274
CGRStateUnload	CGRState	FUN_10704820	1146181
CGRUsePawnEquipmentFromArchetype	CGRQueryParams	FUN_10711790	1153840
CGadget	CEquipmentBase	FUN_104cbdb0	831978
CGadgetMemento	CNetDataContainer	FUN_107882f0	1222034
CGadgetProjectileMemento	CGadgetMemento	FUN_108925a0	1379241
CGameAIObject	CAIObject	FUN_1097dda0	1500926
CGameAgent	CAgent	FUN_1097ca60	1499967
CGameDataValueBase	<root>	FUN_10712f70	1154574
CGameElementEntity	COmniMapEntity	FUN_10629230	1025674
CGameFile	<root>	FUN_108bb030	1403608
CGameFilesService	IGameModeService	FUN_104cbc90	831898
CGameMessage	CNetDataContainer	FUN_10237d40	393681
CGameMessageBox	<root>	FUN_1075bb60	1192901
CGameMessageBoxEvent	CGameMessageBox	FUN_1075bba0	1192920
CGameMessageBoxQuickMatchStatus	CGameMessageBoxSpinner	FUN_1076c600	1203252
CGameMessageBoxSpinner	CGameMessageBox	FUN_1075bbd0	1192936
CGameMessageLocalHud	CGameMessage	FUN_10719fb0	1159164
CGameMessageMultiText	CGameMessage	FUN_1023e420	397805
CGameMessageParser	<root>	FUN_10216090	371289
CGameMessageParser_Generic	CGameMessageParser	FUN_102160d0	371308
CGameMessageService	IGameMessageService	FUN_101a05f0	287362
CGameMessageText	CGameMessage	FUN_1023e260	397702
CGameMission	CBaseMission	FUN_106e6350	1128613
CGameMode	<root>	FUN_1005a8e0	61635
CGameModeEntity	COmniEntity	FUN_1076a1b0	1201582
CGameModeMessageFinalBattle	CGameModeMessageWinner	FUN_106e98b0	1130347
CGameModeMessageWinner	CGameMessage	FUN_106e9820	1130317
CGameModeServiceEvent	CNomadObject	FUN_101dea70	334794
CGameModeServiceNetEngineEvent	CGameModeServiceEvent	FUN_101deaa0	334810
CGameModeTeamDeathMatch	CGameMode	FUN_1064cbf0	1042208
CGameObject	CEntityComponent	FUN_10055bf0	58139
CGameOperation	<root>	FUN_1003cbf0	41500
CGameOperationBuilder	<root>	FUN_1003cb80	41466
CGameOperationContainer	CGameOperation	FUN_1005a380	61405
CGameOperationSimpleBuilder	CGameOperationBuilder	FUN_107337d0	1171201
CGamePlayMessageText	CGameMessageText	FUN_1023e290	397718
CGameRules	<root>	FUN_1005a990	61671
CGameSetting	<root>	FUN_1023fb70	398619
CGameSettingsContainer	CGameSetting	FUN_1023fbb0	398638
CGameSettingsService	IGameModeService	FUN_101a0560	287314
CGameSoundMessage	CGameMessage	FUN_10237d70	393697
CGameSoundSequenceMessage	CGameMessage	FUN_10237de0	393713
CGameSoundService	IGameSoundService	FUN_10198400	280854
CGameStatsService	IGameStatsService	FUN_106db880	1122046
CGameplayManager	IGameModeService	FUN_10581cd0	936332
CGeometryResource	CResourceContainer	FUN_101c9e50	319894
CGhostComponent	CEntityComponent	FUN_101a61b0	292038
CGhostEntity	COmniMapEntity	FUN_101a7430	293349
CGodRayComponent	CEntityComponent	FUN_101a60f0	291974
CGraphicClusterComponent	CClusterComponent	FUN_101a6980	292571
CGraphicComponent	CBaseGraphicComponent	FUN_10055bc0	58123
CGraphicKitComponent	CEntityComponent	FUN_10055b30	58075
CGrassDisplacementComponent	CEntityComponent	FUN_101a6000	291894
CHMRCoverEvent	CEntityEvent	FUN_105bfec0	968593
CHellfireWaspAgent	CBtzAnimalAgent	FUN_1097f4c0	1501504
CHexapedeAgent	CBtzAnimalAgent	FUN_1097f340	1501376
CHordeSpawnPointService	CSpawnPointService	FUN_10719d80	1159070
CHordeSpawnerComponent	CEntityComponent	FUN_104ca050	830700
CHudComponent	CEntityComponent	FUN_10610100	1010775
CHumanPersonality	CLivingCreature	FUN_1097f030	1501250
CIEDPlacedEvent	CEntityEvent	FUN_109a1ec0	1525711
CIgniteProjectile	CEntityEvent	FUN_1058a3f0	939955
CIgnitorComponent	CEntityComponent	FUN_104cb620	831770
CIgnitorMemento	CNetDataContainer	FUN_105ec450	991418
CInitializeNatOperation	CSessionOperation	FUN_10e8cd90	2399362
CInputDriver	<root>	FUN_100b2710	126567
CInputDriverGamepad	CInputDriver	FUN_100d8140	153428
CInputDriverKeyboard	CInputDriver	FUN_100b2750	126586
CInputDriverMouse	CInputDriver	FUN_100d6e60	152761
CInventoryItem	CNomadObject	FUN_105cc590	974028
CInventoryItemAmmoPouch	CInventoryItem	FUN_105cf8e0	976250
CInventoryItemEquipment	CInventoryItem	FUN_105cc5c0	974044
CInventoryItemEquippedGadget	CInventoryItemGadget	FUN_10741e60	1179267
CInventoryItemGadget	CInventoryItemEquipment	FUN_10741cd0	1179159
CInventoryItemWeapon	CInventoryItemEquipment	FUN_105cc5f0	974060
CKickBanService	IGameModeService	FUN_106ef800	1134442
CLadder	CGameObject	FUN_1051c2c0	881137
CLadderMemento	CNetDataContainer	FUN_10879e00	1366594
CLadderNetworkComponent	CNetworkComponent	FUN_1076d230	1203593
CLadderPawnMemento	CNetDataContainer	FUN_108162e0	1306116
CLandmarkFarCategory	CSectorSpawnCategory	FUN_10204db0	360650
CLandmarkNearCategory	CSectorSpawnCategory	FUN_10204d80	360634
CLayerResource	CResourceContainer	FUN_102acb40	466270
CLightEvent	CEntityEvent	FUN_102612d0	418545
CLinearPathFollower	CPathFollower	FUN_1021fbe0	378001
CLivingCreature	CPersonality	FUN_1097efd0	1501218
CLoadFlashMovies	CGameOperation	FUN_106d3c40	1117528
CLoadOutEquipAmmoItem	CLoadOutEquipItem	FUN_106ead60	1130959
CLoadOutEquipGadgetItem	CLoadOutEquipItem	FUN_106ead30	1130943
CLoadOutEquipHandToHandItem	CLoadOutEquipWeaponItem	FUN_106ead00	1130927
CLoadOutEquipItem	CLoadOutItem	FUN_106eabd0	1130826
CLoadOutEquipPrimaryItem	CLoadOutEquipWeaponItem	FUN_106eac70	1130879
CLoadOutEquipSecItem	CLoadOutEquipWeaponItem	FUN_106eaca0	1130895
CLoadOutEquipSpecialItem	CLoadOutEquipWeaponItem	FUN_106eacd0	1130911
CLoadOutEquipWeaponItem	CLoadOutEquipItem	FUN_106eac40	1130863
CLoadOutItem	<root>	FUN_106eab90	1130807
CLoadOutUIStrategy	CUIStrategy	FUN_106eaae0	1130761
CLobbyService	IGameModeService	FUN_10647530	1039654
CLobbyUIStrategy	CUIStrategy	FUN_1084c620	1340512
CLoginSessionParam	COperationData	FUN_10e8bb10	2398218
CLoopingPathFollower	CPathFollower	FUN_1021fbb0	377985
CLootPickedUpEvent	CEntityEvent	FUN_10573a80	928830
CLuaResource	CResource	FUN_102260c0	382230
CMPBase	CEntityComponent	FUN_104c9440	830250
CMachine	CPersonality	FUN_1097f000	1501234
CMagicCrate	CEntityComponent	FUN_104cb7e0	831802
CMajorLocationEntity	CEntity	FUN_104cbc30	831882
CMapElementComponent	CEntityComponent	FUN_105c0e80	969096
CMapIntelligence	CEntityComponent	FUN_104cbc00	831866
CMapOverrideTextureEvent	CEntityEvent	FUN_10611eb0	1011716
CMapService	IGameModeService	FUN_106475c0	1039686
CMassiveComponent	COnlineAdComponent	FUN_101a6890	292491
CMatchService	IGameModeService	FUN_10628dd0	1025582
CMaterialImpactFxEvent	CEntityEvent	FUN_102bedd0	479469
CMaterialResource	CResourceContainer	FUN_101f3660	348923
CMemoryStreamFile	IFile	FUN_100f1290	173520
CMetaSector	CWorldSector	FUN_101a5d30	291766
CMetagameUIComponent	CEntityComponent	FUN_1005d1d0	63603
CMigrateSessionParam	COperationData	FUN_10e8b570	2397903
CMissileNetworkComponent	CNetworkComponent	FUN_104ca7d0	831100
CMissionComponent	CEntityComponent	FUN_101a5eb0	291782
CMissionHandlerEvent	CScriptEvent	FUN_1022bc20	384980
CMortarIncoming	CEntityEvent	FUN_107b6a70	1248081
CMountedWeapon	CEntityComponent	FUN_105312c0	892770
CMountedWeaponSmartTerrain	CSmartTerrain	FUN_109804a0	1501953
CMovementResource	CResourceContainer	FUN_101b9340	307054
CMusicAIInfoManager	CSingletonEntity	FUN_1097f0c0	1501298
CMuzzleFlashManager	IGameModeService	FUN_1079adf0	1233926
CNPCSpawnerComponent	CEntityComponent	FUN_104ca020	830684
CNavMeshGenComponent	CGameAIObject	FUN_109805c0	1502049
CNavMeshSectorEvent	CBaseEvent	FUN_104bdff0	820740
CNavMeshSectorResource	CResourceContainer	FUN_104a1860	803031
CNavigationVolumeComponent	CEntityComponent	FUN_101a5fd0	291878
CNetDataContainer	<root>	FUN_10096e20	107665
CNetDataVisitor	<root>	FUN_1012afa0	206169
CNetDescriptor	CNetDataContainer	FUN_1012e680	209313
CNetFuncDrawWeapon	CPawnNetFunc	FUN_1089e1c0	1386269
CNetGameCtrlState	<root>	FUN_106d3310	1117226
CNetGameCtrlStateChangeContext	CNetGameCtrlStateGameContext	FUN_10783bb0	1218636
CNetGameCtrlStateGameContext	CNetGameCtrlState	FUN_10783b80	1218620
CNetGameCtrlStateLoadWorld	CNetGameCtrlStateUpdate	FUN_106d3380	1117261
CNetGameCtrlStateLocalPresence	CNetGameCtrlStatePresence	FUN_10783c70	1218702
CNetGameCtrlStatePresence	CNetGameCtrlState	FUN_10783c00	1218665
CNetGameCtrlStateUnloadWorld	CNetGameCtrlStateUpdate	FUN_106d33d0	1117290
CNetGameCtrlStateUpdate	CNetGameCtrlState	FUN_106d3350	1117245
CNetGameCtrlStateUpdateInGame	CNetGameCtrlStateUpdate	FUN_1075f030	1195421
CNetGameCtrlStateUpdateLobby	CNetGameCtrlStateUpdate	FUN_10783ca0	1218718
CNetMessageClientReady	CNetDataContainer	FUN_10e9c540	2411552
CNetMessageClientReady_RdV	CNetMessageClientReady	FUN_10e9f340	2413842
CNetMessageEmpty	CNetDataContainer	FUN_1012af40	206154
CNetObjectOperation	IOperation	FUN_10136840	216378
CNetObjectSerializer	<root>	FUN_1012ff00	210666
CNetSessionMessageQuery	CNetDataContainer	FUN_10e8eb70	2401346
CNetSessionMessageResponse	CNetDataContainer	FUN_10e9c280	2411386
CNetSessionMigrationMessage	CNetDataContainer	FUN_10e8eba0	2401362
CNetSimulationCameraMemento	CNetDataContainer	FUN_1013f5d0	222961
CNetworkComponent	CEntityComponent	FUN_101a5f70	291846
CNetworkResource	CResource	FUN_101a5f40	291830
CNetworkSetting	<root>	FUN_101383a0	217778
CNetworkSettingsCollection	CNetworkSetting	FUN_10144400	227066
CNewConnectionOperation	IOperation	FUN_10142bb0	225721
CNewParticlesComponent	CEntityComponent	FUN_101a69b0	292587
CNewParticlesSystemCleanEvent	CEntityEvent	FUN_10255480	411740
CNewParticlesSystemPauseEvent	CEntityEvent	FUN_102553a0	411666
CNewParticlesSystemStartEvent	CEntityEvent	FUN_10255370	411650
CNewParticlesSystemStopEvent	CEntityEvent	FUN_10255410	411703
CNomadDbObject	CNomadObject	FUN_1025a590	414807
CNomadDbObjectNamed	CNomadDbObject	FUN_1027f180	437375
CNomadObject	<root>	FUN_1003cb10	41432
COcclusionQueryComponent	CEntityComponent	FUN_101a58f0	291414
COffsetedImpactFxEvent	CMaterialImpactFxEvent	FUN_1052eb30	891222
COmniEntity	CEntity	FUN_101a6650	292299
COmniMapEntity	CEntity	FUN_101a66e0	292347
COmniMapTickedEntity	COmniMapEntity	FUN_101a69e0	292603
COnGameStatChangedParam	IOnValueChangedParam	FUN_1023d780	397213
COnStatChangedParam	IOnValueChangedParam	FUN_102ea9a0	508332
COnlineAdComponent	CEntityComponent	FUN_101a6830	292459
COpenComputerEvent	CEntityEvent	FUN_104f8650	859556
COperation	<root>	FUN_10e8a5c0	2396805
COperationData	<root>	FUN_10e8a510	2396772
COutOfWorldEvent	CEntityEvent	FUN_1058df00	941672
CParasolAgent	CGameAIObject	FUN_1097f520	1501536
CParasolCluster	CDynamicGameAIObject	FUN_10984570	1507441
CParticleAutoDestroyComponent	CNewParticlesComponent	FUN_101a6a10	292619
